id,title,artist_title,classification_titles
82084,Floral Piece,Jean Baptiste Monnoyer,etching;print;prints and drawing
95605,The Deposition of Christ,Benedetto Stefani,engraving;print;prints and drawing
13502,Diogenes,Ugo da Carpi,woodcut;print;prints and drawing
4310,Descent into Limbo,Andrea Mantegna,engraving;print;prints and drawing
109329,"Saint Philip, from The Holy Family and the Twelve Apostles",Marco Alvise Pitteri,engraving;print;prints and drawing
27435,Battle of the Naked Men,Antonio Pollaiuolo,engraving;print;prints and drawing
23081,Saint George and the Dragon,Giuseppe Scolari,woodcut;print;prints and drawing
148398,A Young Woman in Profile,Marco Alvise Pitteri,etching;print;prints and drawing
140638,Bust of a Young Man with a Fur-Collared Coat,Marco Alvise Pitteri,engraving;print;prints and drawing
129087,"Saint Matthias, from The Holy Family and the Twelve Apostles",Marco Alvise Pitteri,engraving;print;prints and drawing
272035,David Cutting Off Goliath's Head,Giovanni Battista Scultori,prints and drawing;paper;engraving;print
151146,Venus and Adonis,Pietro Testa,etching;print;prints and drawing
148399,A Boy with a Dog,Marco Alvise Pitteri,etching;print;prints and drawing
131392,The Transfiguration,Camillo Procaccini,etching;print;prints and drawing
74624,"The Round Tower, plate 3 from the second edition of Carceri d'invenzione (Imaginary Prisons)",Giovanni Battista Piranesi,etching;print;prints and drawing
64517,"View of the Pyramidal Tomb of Cestius, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
7391,"View of St. Peter's Basilica and Piazza in the Vatican, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48104,"View of the Basilica of S. Maria Maggiore with its two flanking wings, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48092,"Cut-away view of the interior of the Basilica of S. Paolo fuori delle Mura [St. Paul outside the Walls], from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48210,"View of the Piazza del Popolo, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48207,"View of Piazza Navona above the ruins of the Circus of Domitian, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48133,"View of the Capitoline Hill with the steps to the Church of S. Maria in Aracoeli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
61179,Title Page from Imaginary Prisons,Giovanni Battista Piranesi,etching;print;prints and drawing
53091,"View of Piazza Navona above the ruins of the Circus of Domitian, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48213,"View of the large Trevi Fountain formerly called the Acqua Vergine, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
64513,"Egyptian Obelisk. This was erected by Pope Sixtus V in the Piazza of St. John Lateran, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
64511,"The Column of Marcus Aurelius, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48070,"View of the upper storey of the Cages for Wild Animals built by the Emperor Domitian, associated with the Flavian Amphitheater and commonly called the Curia Hostilia, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48175,"View of the exterior of St. Peter's Basilica in the Vatican, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48170,"View of the Mausoleum of the Emperor Hadrian (now called Castel Sant’Angelo) from the Rear, from Vedute di Roma (Views of Rome)",Giovanni Battista Piranesi,etching;print;prints and drawing
48108,"Trajan's Column, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48204,"Arch of Septimius Severus through which passed the ancient Sacred Way, bringing victors to the Capitol, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48190,"View of the Customs House in Piazza di Pietra, which was built within the ruins of the Temple of Marcus Aurelius Antoninus Pius in his Forum, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
281796,William S. Wilson Collection of Ray Johnson,Ray Johnson,archival material
48166,"View of the Rear Entrance of the Basilica of S. Maria Maggiore, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48144,"View of the Basilica of S. Paolo fuori delle Mura [St. Paul outside the Walls], built by Constantine the Great, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48111,"View of the Fountainhead of the Acqua Paola on Monte Aureo, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48102,"View of the Palazzo Odescalchi, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48177,"View of the Palazzo di Montecitorio, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48187,"View of the Palazzo della Consulta on the Quirinal housing the Papal Secretariat, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48183,"View of the Façade of the Basilica of S. Croce in Gerusalemme [the Holy Cross in Jerusalem], from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48219,"View along the Via del Corso of the Palazzo dell' Accademia established by Louis XIV, King of France for French students of Painting, Sculpture and Architecture, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
107910,Apollo on Parnassus,Marcantonio Raimondi,engraving;print;prints and drawing
137057,Alexander in the Studio of Apelles,Salvator Rosa,etching;print;prints and drawing
111555,Trajan Crowned by Victory,Marcantonio Raimondi,engraving;print;prints and drawing
51520,"Apollo on Parnassus, Surrounded by the Muses and Poets",Marcantonio Raimondi,engraving;print;prints and drawing
21369,Martyrdom of Saint Lawrence,Marcantonio Raimondi,engraving;print;prints and drawing
269144,Trajan Crowned by Victory,Marcantonio Raimondi,prints and drawing;paper;engraving;print
159864,The Genius of Salvator Rosa,Salvator Rosa,etching;print;prints and drawing
140637,Diogenes Casting Away His Bowl,Salvator Rosa,etching;print;prints and drawing
